date,top10,top10_pctile_3y,top10_pctile_10y
20220315,0.541609,0.436214,0.725926
20220316,0.562998,0.622771,0.828807
20220317,0.56805,0.665295,0.848971
20220318,0.554678,0.548697,0.793827
20220321,0.533941,0.305898,0.66214
20220322,0.541903,0.433471,0.726337
20220323,0.535694,0.333333,0.676132
20220324,0.540788,0.415638,0.717695
20220325,0.542108,0.437586,0.727984
20220328,0.542142,0.437586,0.727984
20220329,0.546139,0.482853,0.750617
20220330,0.558638,0.585734,0.811523
20220331,0.548199,0.499314,0.761728
20220401,0.542685,0.438957,0.729218
20220406,0.523598,0.182442,0.5893
20220407,0.515674,0.108368,0.539918
20220408,0.529321,0.245542,0.63251
20220411,0.532174,0.262003,0.64321
20220412,0.534525,0.29904,0.660905
20220413,0.538602,0.368999,0.696296
20220414,0.559038,0.588477,0.813169
20220415,0.545985,0.474623,0.747325
20220418,0.545871,0.473251,0.746914
20220419,0.543014,0.438957,0.729218
20220420,0.529714,0.238683,0.63251
20220421,0.512865,0.079561,0.520988
20220422,0.514224,0.087791,0.529218
20220425,0.51127,0.068587,0.512346
20220426,0.526637,0.201646,0.606996
20220427,0.544949,0.45679,0.740329
20220428,0.566082,0.648834,0.840741
20220429,0.559149,0.587106,0.812757
20220505,0.552084,0.517147,0.779424
20220506,0.54397,0.447188,0.734568
20220509,0.539957,0.381344,0.704115
20220510,0.545,0.454047,0.739506
20220511,0.548775,0.493827,0.762551
20220512,0.547024,0.482853,0.755144
20220513,0.543581,0.434842,0.730453
20220516,0.53692,0.325103,0.678189
20220517,0.555886,0.558299,0.798354
20220518,0.531272,0.234568,0.63251
20220519,0.545023,0.449931,0.738683
20220520,0.559934,0.593964,0.815226
20220523,0.540096,0.374486,0.702881
20220524,0.515837,0.090535,0.533333
20220525,0.535279,0.296296,0.661317
20220526,0.531543,0.234568,0.633333
20220527,0.530249,0.227709,0.628395
20220530,0.526638,0.190672,0.601646
20220531,0.531476,0.237311,0.633333
20220601,0.507407,0.045267,0.484362
20220602,0.508336,0.050754,0.489712
20220606,0.533207,0.263374,0.644444
20220607,0.529774,0.231824,0.62716
20220608,0.550303,0.506173,0.769959
20220609,0.553291,0.532236,0.785185
20220610,0.562074,0.611797,0.825103
20220613,0.561699,0.610425,0.824691
20220614,0.555308,0.55144,0.794239
20220615,0.575175,0.705075,0.872016
20220616,0.552044,0.514403,0.776132
20220617,0.564553,0.635117,0.834979
20220620,0.561202,0.603567,0.820576
20220621,0.535015,0.29904,0.65679
20220622,0.5429,0.419753,0.719753
20220623,0.548153,0.48834,0.754733
20220624,0.543822,0.436214,0.727572
20220627,0.548721,0.491084,0.757613
20220628,0.536281,0.316872,0.666255
20220629,0.538865,0.351166,0.684774
20220630,0.548143,0.486968,0.753909
20220701,0.553375,0.528121,0.783128
20220704,0.55882,0.578875,0.808642
20220705,0.561155,0.602195,0.819753
20220706,0.568403,0.665295,0.849794
20220707,0.579272,0.731139,0.88642
20220708,0.566861,0.648834,0.841975
20220711,0.561187,0.59808,0.818519
20220712,0.562713,0.610425,0.824691
20220713,0.570342,0.66941,0.853086
20220714,0.560354,0.585734,0.812346
20220715,0.539729,0.356653,0.690123
20220718,0.533497,0.252401,0.63786
20220719,0.516917,0.097394,0.531276
20220720,0.503037,0.032922,0.456379
20220721,0.525699,0.179698,0.588477
20220722,0.518,0.108368,0.539506
20220725,0.521736,0.142661,0.561728
20220726,0.530632,0.224966,0.61893
